date,uah_per_usd
2013-10-01,7.993
2013-11-01,7.993
2013-12-01,7.993
2014-01-01,7.993
2014-02-01,8.654882142857144
2014-03-01,9.920029032258064
2014-04-01,11.637127166666666
2014-05-01,11.643625741935484
2014-06-01,11.8095251
2014-07-01,11.758699838709678
2014-08-01,12.974419322580646
2014-09-01,13.0123784
2014-10-01,12.949849741935484
2014-11-01,14.7313455
2014-12-01,15.62919841935484
2015-01-01,15.818962580645161
2015-02-01,24.687130357142856
2015-03-01,23.186529741935484
2015-04-01,22.7094725
2015-05-01,20.915255677419356
2015-06-01,21.232832466666665
2015-07-01,21.75737322580645
2015-08-01,21.626867290322583
2015-09-01,21.7834192
2015-10-01,21.841307419354838
2015-11-01,23.312625099999998
2015-12-01,23.408386193548388
2016-01-01,24.259692548387097
2016-02-01,26.393052206896552
2016-03-01,26.35616216129032
2016-04-01,25.629497566666664
2016-05-01,25.2077564516129
2016-06-01,24.951341333333335
2016-07-01,24.816781
2016-08-01,25.06480919354839
2016-09-01,26.2754622
2016-10-01,25.757272387096776
2016-11-01,25.700937800000002
2016-12-01,26.20452493548387
2017-01-01,27.15061190322581
2017-02-01,27.02777107142857
2017-03-01,27.00156241935484
2017-04-01,26.856827099999997
2017-05-01,26.423693
2017-06-01,26.108858166666668
2017-07-01,25.96931522580645
2017-08-01,25.635271419354837
2017-09-01,26.108607100000004
2017-10-01,26.654977096774196
2017-11-01,26.70527463333333
2017-12-01,27.516507935483872
2018-01-01,28.434328612903226
2018-02-01,27.171049392857146
2018-03-01,26.341204741935485
2018-04-01,26.151748566666665
2018-05-01,26.18122458064516
2018-06-01,26.202170466666665
2018-07-01,26.40068641935484
2018-08-01,27.482209032258066
2018-09-01,28.191267433333334
2018-10-01,28.127382419354838
2018-11-01,27.933498133333334
2018-12-01,27.78913870967742
2019-01-01,27.879175
2019-02-01,27.160679178571428
2019-03-01,26.86353458064516
2019-04-01,26.8114953
2019-05-01,26.37884770967742
2019-06-01,26.500110633333335
2019-07-01,25.751355387096773
2019-08-01,25.246989612903228
2019-09-01,24.769724166666666
2019-10-01,24.808206516129033
2019-11-01,24.367518633333336
2019-12-01,23.609435129032256
2020-01-01,24.119351612903223
2020-02-01,24.596524137931034
2020-03-01,26.412293548387098
2020-04-01,27.224653333333332
2020-05-01,26.814329032258065
2020-06-01,26.70734333333333
2020-07-01,27.31283870967742
2020-08-01,27.52141935483871
2020-09-01,27.97671666666667
2020-10-01,28.324951612903224
2020-11-01,28.310153333333336
2020-12-01,28.16971935483871
2021-01-01,28.219770967741937
2021-02-01,27.88466071428571
2021-03-01,27.79555806451613
2021-04-01,27.930006666666667
2021-05-01,27.602848387096774
2021-06-01,27.239873333333332
2021-07-01,27.214548387096777
2021-08-01,26.784854838709677
2021-09-01,26.727786666666667
2021-10-01,26.37467741935484
2021-11-01,26.446223333333332
2021-12-01,27.213464516129033
2022-01-01,27.981270967741935
2022-02-01,28.413664285714283
2022-03-01,29.2549
2022-04-01,29.2549
2022-05-01,29.2549
2022-06-01,29.2549
2022-07-01,31.850083870967744
2022-08-01,36.5686
2022-09-01,36.568599999999996
2022-10-01,36.5686
2022-11-01,36.568599999999996
2022-12-01,36.5686
2023-01-01,36.5686
2023-02-01,36.5686
2023-03-01,36.5686
2023-04-01,36.568599999999996
2023-05-01,36.5686
2023-06-01,36.568599999999996
2023-07-01,36.5686
2023-08-01,36.5686
2023-09-01,36.568599999999996
2023-10-01,36.51895161290323
2023-11-01,36.15542000000001
2023-12-01,37.093925806451615
2024-01-01,37.86847419354839
2024-02-01,37.97289310344827
2024-03-01,38.66386774193548
2024-04-01,39.360549999999996
2024-05-01,39.71005161290323
2024-06-01,40.477513333333334
2024-07-01,40.99017741935484
2024-08-01,41.18937419354839
2024-09-01,41.24735999999999
2024-10-01,41.24245806451613
2024-11-01,41.35026333333334
2024-12-01,41.75200967741936
2025-01-01,42.10896451612903
2025-02-01,41.67110714285714
2025-03-01,41.48065161290323
2025-04-01,41.41348333333334
2025-05-01,41.52995483870968
2025-06-01,41.57927666666667
2025-07-01,41.7941064516129
2025-08-01,41.441896774193545
2025-09-01,41.31833666666667
2025-10-01,41.627122580645164
2025-11-01,42.10400666666667
2025-12-01,42.19992903225806
